dimension,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
relevance,4,4,4,4,1,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
relevance,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4
relevance,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
relevance,4,4,4,4,2,3,3,4,4,3,3,3,2,1,1,4,4,2,3,4
relevance,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
relevance,4,3,2,3,4,4,4,4,4,4,4,4,3,2,2,4,4,4,4,4
relevance,4,4,4,4,4,4,4,4,3,4,4,4,3,1,4,4,4,4,4,4
relevance,4,1,4,4,2,4,4,4,3,1,3,1,1,2,1,4,4,3,1,2
relevance,4,4,3,4,3,4,4,3,3,3,4,4,3,3,4,4,4,4,4,4
relevance,3,4,3,3,3,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4
relevance,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4
relevance,4,4,4,4,4,4,3,4,3,4,4,4,4,3,2,4,4,3,3,4
relevance,4,2,3,3,4,4,4,4,1,4,4,3,4,1,4,4,4,3,1,4
relevance,4,4,4,4,4,4,3,3,1,4,3,4,1,1,4,4,4,4,1,2
relevance,4,1,4,4,1,4,4,4,1,4,4,1,1,4,4,4,4,4,1,4
relevance,4,2,4,3,4,4,4,4,3,4,4,3,4,2,4,4,3,4,4,4
relevance,4,4,4,4,4,4,4,4,2,4,4,4,1,1,4,4,4,1,4,4
relevance,3,4,3,4,3,3,4,3,4,4,3,4,4,4,4,4,4,3,4,4
relevance,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4
relevance,4,4,4,4,4,4,2,4,3,4,2,4,4,2,2,4,4,3,4,4
wording,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,2,4,3
wording,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4
wording,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
wording,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
wording,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
wording,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
wording,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
wording,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
wording,3,4,3,3,4,4,3,3,4,3,4,4,4,4,4,4,4,2,4,4
wording,3,4,3,3,3,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3
wording,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4
wording,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
wording,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,4,4
wording,4,4,4,4,3,4,3,3,1,3,1,4,4,1,4,4,4,4,4,4
wording,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4
wording,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4
wording,2,4,3,3,4,4,4,3,1,3,4,4,1,1,4,4,2,1,4,4
wording,3,4,3,4,3,4,4,3,2,4,3,4,3,3,4,3,4,3,4,3
wording,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
wording,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
